name_file,model,BATS,NOISE
/home/rasieira/Escritorio/INPUT/S50_01.wav,densenet121,False,False
/home/rasieira/Escritorio/INPUT/S50_01.wav,efficientnet_b0,False,False
/home/rasieira/Escritorio/INPUT/S50_01.wav,resnet101,False,False
/home/rasieira/Escritorio/INPUT/S50_01.wav,resnet50,False,False
/home/rasieira/Escritorio/INPUT/S50_01.wav,resnext50_32x4d,False,False
/home/rasieira/Escritorio/INPUT/S50_02.wav,densenet121,False,False
/home/rasieira/Escritorio/INPUT/S50_02.wav,efficientnet_b0,False,False
/home/rasieira/Escritorio/INPUT/S50_02.wav,resnet101,False,False
/home/rasieira/Escritorio/INPUT/S50_02.wav,resnet50,False,False
/home/rasieira/Escritorio/INPUT/S50_02.wav,resnext50_32x4d,False,False
/home/rasieira/Escritorio/INPUT/S50_03.wav,densenet121,False,False
/home/rasieira/Escritorio/INPUT/S50_03.wav,efficientnet_b0,False,False
/home/rasieira/Escritorio/INPUT/S50_03.wav,resnet101,False,False
/home/rasieira/Escritorio/INPUT/S50_03.wav,resnet50,False,False
/home/rasieira/Escritorio/INPUT/S50_03.wav,resnext50_32x4d,False,False
/home/rasieira/Escritorio/INPUT/S50_04.wav,densenet121,False,False
/home/rasieira/Escritorio/INPUT/S50_04.wav,efficientnet_b0,False,False
/home/rasieira/Escritorio/INPUT/S50_04.wav,resnet101,False,False
/home/rasieira/Escritorio/INPUT/S50_04.wav,resnet50,False,False
/home/rasieira/Escritorio/INPUT/S50_04.wav,resnext50_32x4d,False,False
/home/rasieira/Escritorio/INPUT/S50_05.wav,densenet121,True,False
/home/rasieira/Escritorio/INPUT/S50_05.wav,efficientnet_b0,True,False
/home/rasieira/Escritorio/INPUT/S50_05.wav,resnet101,True,False
/home/rasieira/Escritorio/INPUT/S50_05.wav,resnet50,True,False
/home/rasieira/Escritorio/INPUT/S50_05.wav,resnext50_32x4d,True,False
/home/rasieira/Escritorio/INPUT/S50_06.wav,densenet121,False,False
